Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Máximo,Mínimo,Promedio
8.59254,8.60801,8.46336,8.62887,8.66891,8.66891,8.46336,8.592338
22.2777,22.1567,21.756,22.0166,22.1923,22.2777,21.756,22.07986
66.9866,66.4528,66.2648,65.6705,66.0202,66.9866,65.6705,66.27898
9.32318,9.12672,9.10927,9.27197,9.35751,9.35751,9.10927,9.23773
23.114,22.9665,23.0337,22.9617,23.1612,23.1612,22.9617,23.04742
66.767,65.5579,68.0019,68.677,68.6669,68.677,65.5579,67.53414
9.06691,9.04335,9.34048,9.42423,9.55907,9.55907,9.04335,9.286808
23.3402,22.9506,22.9878,24.1795,24.2808,24.2808,22.9506,23.54778
68.6688,67.2184,67.1018,71.8154,72.4442,72.4442,67.1018,69.44972
95.7736,94.828,94.8368,99.0556,99.8647,99.8647,94.828,96.87174
247.304,244.734,244.208,258.039,254.564,258.039,244.208,249.7698
722.555,720.358,721.722,746.891,728.7,746.891,720.358,728.0452
104.145,97.1614,96.764,98.9437,98.1105,104.145,96.764,99.02492
266.584,247.344,241.805,254.743,243.13,266.584,241.805,250.7212
703.558,688.603,683.959,686.417,689.637,703.558,683.959,690.4348
94.9129,94.6348,94.3818,99.3094,94.7323,99.3094,94.3818,95.59424
242.483,241.024,242.31,242.618,242.564,242.618,241.024,242.1998
727.405,687.729,689.447,711.627,692.983,727.405,687.729,701.8382
360.916,353.941,354.43,368.993,354.749,368.993,353.941,358.6058
1048.04,941.334,946.812,994.282,950.403,1048.04,941.334,976.1742
3127.5,2947.13,2943.45,3038.97,2958.22,3127.5,2943.45,3003.054
405.618,393.354,392.808,395.502,394.435,405.618,392.808,396.3434
1067.06,1029.14,1028.51,1067.09,1031.4,1067.09,1028.51,1044.64
3070.92,3036.84,3025.51,3057.61,3056.52,3070.92,3025.51,3049.48
,360.497,356.913,359.33,359.07,360.497,356.913,358.9525
,990.504,959.986,970.176,959.866,990.504,959.866,970.133
,2930.67,2865.19,2929.07,2854.18,2930.67,2854.18,2894.7775
,,,,,,,
Solución,Solución,Solución,Solución,Solución,Máximo,Mínimo,Promedio
17354.1,17187,16887.6,17292.4,17121.3,17354.1,16887.6,17168.48
17429.3,17298.4,17586.3,17465.3,17494.7,17586.3,17298.4,17454.8
17534.8,17690.3,17556,17564.7,17521.2,17690.3,17521.2,17573.4
16953.9,17309.7,16940.4,17115.6,17228.9,17309.7,16940.4,17109.7
17179.1,17384.5,17534.2,17299.5,17482.6,17534.2,17179.1,17375.98
17508.7,17584.7,17523.4,17714.9,17636,17714.9,17508.7,17593.54
17013.9,16807.6,16885.2,17364.4,17071.8,17364.4,16807.6,17028.58
17587.3,17249.1,17340.8,17484,17200.4,17587.3,17200.4,17372.32
17502.1,17608.6,17424.8,17579.7,17514.7,17608.6,17424.8,17525.98
17482.5,17472.1,17644.5,17620.2,17498.9,17644.5,17472.1,17543.64
17652.5,17714.4,17815.1,17801.2,17794.2,17815.1,17652.5,17755.48
17911.9,17834.3,17729.8,17872.8,17902.9,17911.9,17729.8,17850.34
17555.1,17537.3,17587.1,17680.2,17475.4,17680.2,17475.4,17567.02
17830.5,17625.3,17832.8,17970.8,17740.9,17970.8,17625.3,17800.06
17773.9,17829.7,18083.6,17877,17809.5,18083.6,17773.9,17874.74
17371.8,17622.4,17582.5,17516.2,17449.3,17622.4,17371.8,17508.44
17667.8,17721.1,17754.3,17721.8,17745,17754.3,17667.8,17722
17971.2,17987.5,17902,17870.7,17941.7,17987.5,17870.7,17934.62
17847.7,17687.2,17766.4,17996,17713.5,17996,17687.2,17802.16
17964.5,17997.9,18105.2,17986.3,17908.9,18105.2,17908.9,17992.56
18109.2,17938.5,18031.7,18078,18172.5,18172.5,17938.5,18065.98
17685,17830.2,17659.9,17658.4,17819.9,17830.2,17658.4,17730.68
17810.8,17890.8,17961.7,17764.5,17746.7,17961.7,17746.7,17834.9
18029.8,18052.4,18037.3,18060.1,18063.2,18063.2,18029.8,18048.56
,17862.2,17646.2,17714.7,17885.6,17885.6,17646.2,17777.175
,17955,17904.8,17939.5,18076.5,18076.5,17904.8,17968.95
,18037.7,17973.5,18077.4,17923.8,18077.4,17923.8,18003.1
