Tiempo,Solución
434.191,15412
430.702,15547
432.969,15352
429.725,15375
432.05,15393
1062.08,15614
1070.75,15687
1062.2,15651
1065.15,15565
1065.01,15633
2122.33,15897
2124.51,15768
2125.14,15648
2117.04,15675
2128.39,15789
432.921,15523
434.228,15582
431.536,15410
428.904,15395
429.557,15430
1068.89,15530
1058.66,15463
1067.55,15481
1070.98,15509
1064.14,15550
2107.06,15618
2103.56,15555
2111.46,15491
2110.72,15516
2118.2,15705
428.985,15335
429.222,15454
427.028,15416
433.808,15380
429.492,15277
1072.25,15575
1055.16,15600
1065.09,15420
1058.11,15570
1064.5,15463
2109.24,15663
2104.38,15667
2107.13,15522
2100.96,15505
2107.38,15640
442.319,15512
440.356,15276
440.805,15405
440.147,15444
440.921,15442
1095.95,15487
1097.65,15570
1094.83,15480
1094.56,15510
1094.4,15491
2189.08,15539
2186.11,15675
2188.26,15389
2188.3,15734
2187.78,15642
440.854,15380
441.064,15317
440.649,15363
440.968,15285
438.083,15421
1098.07,15349
1097.84,15437
1096.71,15422
1095.74,15344
1098.78,15455
2179.21,15535
2178.9,15510
2184.97,15525
2180.09,15475
2180.03,15476
440.678,15307
440.623,15266
438.676,15278
440.6,15307
440.474,15233
1096.53,15347
1098.66,15328
1096.82,15354
1096.96,15483
1097.83,15352
2195.81,15467
2195.54,15439
2176.89,15433
2172.59,15579
2175.51,15522
440.461,15255
443.713,15314
444.27,15315
444.287,15254
444.069,15180
1097.5,15329
1106.2,15345
1097.36,15385
1106.35,15522
1096.83,15357
2200.16,15583
2651.74,15453
3258.67,15420
3262.9,15422
3271.77,15461
660.993,15132
661.526,15148
661.954,15270
657.301,15224
661.84,15337
1642.49,15198
1652.77,15351
1650.2,15279
1638.92,15327
1635.37,15331
3258.61,15300
3268.44,15270
3287.09,15365
3278.25,15405
3296.6,15390
666.503,15258
661.492,15210
665.105,15207
665.91,15140
663.293,15246
1660.32,15248
1646.97,15445
1652.01,15441
1655.32,15305
1654.33,15302
3267.62,15334
3285.8,15318
3260.31,15419
3292.71,15316
